,time,steps,average_score
0,62.0,1000.0,0.05
1,133.0,2000.0,0.01
2,206.0,3000.0,0.03
3,278.0,4000.0,0.02
4,353.0,5000.0,0.03
5,429.0,6000.0,0.05
6,505.0,7000.0,0.07
7,583.0,8000.0,0.07
8,671.0,9000.0,0.14
9,753.0,10000.0,0.09
10,845.0,11000.0,0.16
11,991.0,12000.0,0.5
12,1086.0,13000.0,0.19
13,1214.0,14000.0,0.38
14,1327.0,15000.0,0.29
15,1446.0,16000.0,0.34
16,1551.0,17000.0,0.23
17,1690.0,18000.0,0.45
18,2009.0,19000.0,1.65
19,2317.0,20000.0,1.56
20,2412.0,21000.0,0.17
21,2508.0,22000.0,0.17
22,2715.0,23000.0,0.9
23,2846.0,24000.0,0.4
24,3202.0,25000.0,1.88
25,3363.0,26000.0,0.61
26,3623.0,27000.0,1.24
27,3822.0,28000.0,0.85
28,4079.0,29000.0,1.22
29,4171.0,30000.0,0.16
30,4175.0,30000.0,0.12
